# file	find	replacement	reason
scripts/regen-manifest.sh	[ ! -f "$path" ]	[ -f "$path" ]	missing-file check inverted: listed files absent on disk pass, present files fail the regen
scripts/spec_artifacts.py	return 1 if invalid else 0	return 0 if invalid else 1	exit code inverted: invalid staging reports success to refreeze
scripts/spec_artifacts.py	or any(part in {"", ".", ".."} for part in parts))	or any(part in {"", "."} for part in parts))	traversal guard drops "..": tests/../scripts paths become allowed staging artifacts
scripts/manifest-drift-guard.sh	[ "$staged_hash" != "$_hash" ]	[ "$staged_hash" = "$_hash" ]	drift condition inverted: matching hashes warn, drifted hashes pass silently
scripts/tpm-view.sh	grep -vE '^[[:space:]]*(src|\./src)/' "$ESC/BATCH.md" > "$VIEW/escalations/BATCH.md"	grep -E '^[[:space:]]*(src|\./src)/' "$ESC/BATCH.md" > "$VIEW/escalations/BATCH.md"	sanitization inverted: only src/ path lines kept in the TPM view, everything else dropped
scripts/tpm-view.sh	for doc in PRD.md ERD.md ERD-DELTA.md contracts.json; do	for doc in PRD.md ERD.md ERD-DELTA.md; do	contracts.json dropped from the materialized spec-artifact set
scripts/new-project.sh	THINKING_MODEL) die "pre-flight: THINKING MODEL loaded (content empty, reasoning present). Load the non-thinking coder model (Hard Rule 1)." ;;	THINKING_MODEL) echo "  ok: local LLM responded" ;;	thinking-model pre-flight dies become a pass: Hard Rule 1 guard removed
scripts/new-project.sh	[ -x scripts/bootstrap.sh ] || die "scripts/bootstrap.sh missing or not executable."	[ -x scripts/bootstrap.sh ] || die "scripts/bootstrap.sh missing."	bootstrap pre-check message changed (teeth assert the exact onboarding output)
scripts/status.sh	if [ "${STATUS:-}" = "Running" ]; then	if [ "${STATUS:-}" != "Running" ]; then	podman section condition inverted: container report shown when VM stopped, skipped when running
scripts/extract-test-functions.py	if name in all_top and all_top[name] not in target_funcs:	if name in all_top and all_top[name] in target_funcs:	helper collection inverted: target tests collected as helpers, real helpers dropped
scripts/extract-test-functions.py	if comment_line >= 0 and lines[comment_line].lstrip().startswith("#"):	if comment_line >= 0 and not lines[comment_line].lstrip().startswith("#"):	leading-comment inclusion inverted: docstring-less lines pulled in, comment headers dropped
scripts/check-drift.sh	if [ "$child" = "$head_h" ]; then	if [ "$child" != "$head_h" ]; then	sync condition inverted: matching files flagged, divergent files reported IN_SYNC
