# D-161 mutation-pass results

- source: `/Users/arc.elixir/dev/sw-dev-blueprint@2cd9c7270e0b7340069b35b75886140034466936` (isolated exact-HEAD clone)
- baseline: green
- suite: `python3 -m pytest scripts/selftest/selftest_*.py -q`
- totals: 69 mutants; 45 killed; 23 survived; 1 authoring errors
- enforcement: report-only; survivors are evidence for oracle improvement, never a build gate

| verdict | file | mutation | reason |
|---|---|---|---|
| AUTHORING_ERROR | `file` | `find` → `replacement` | source file does not exist |
| KILLED | `scripts/regen-manifest.sh` | `[ ! -f "$path" ]` → `[ -f "$path" ]` | missing-file check inverted: listed files absent on disk pass, present files fail the regen |
| KILLED | `scripts/spec_artifacts.py` | `return 1 if invalid else 0` → `return 0 if invalid else 1` | exit code inverted: invalid staging reports success to refreeze |
| KILLED | `scripts/spec_artifacts.py` | `or any(part in {"", ".", ".."} for part in parts))` → `or any(part in {"", "."} for part in parts))` | traversal guard drops "..": tests/../scripts paths become allowed staging artifacts |
| KILLED | `scripts/manifest-drift-guard.sh` | `[ "$staged_hash" != "$_hash" ]` → `[ "$staged_hash" = "$_hash" ]` | drift condition inverted: matching hashes warn, drifted hashes pass silently |
| KILLED | `scripts/tpm-view.sh` | `grep -vE '^[[:space:]]*(src\|\./src)/' "$ESC/BATCH.md" > "$VIEW/escalations/BATCH.md"` → `grep -E '^[[:space:]]*(src\|\./src)/' "$ESC/BATCH.md" > "$VIEW/escalations/BATCH.md"` | sanitization inverted: only src/ path lines kept in the TPM view, everything else dropped |
| KILLED | `scripts/tpm-view.sh` | `for doc in PRD.md ERD.md ERD-DELTA.md contracts.json; do` → `for doc in PRD.md ERD.md ERD-DELTA.md; do` | contracts.json dropped from the materialized spec-artifact set |
| SURVIVED | `scripts/new-project.sh` | `THINKING_MODEL) die "pre-flight: THINKING MODEL loaded (content empty, reasoning present). Load the non-thinking coder model (Hard Rule 1)." ;;` → `THINKING_MODEL) echo "  ok: local LLM responded" ;;` | thinking-model pre-flight dies become a pass: Hard Rule 1 guard removed |
| SURVIVED | `scripts/new-project.sh` | `[ -x scripts/bootstrap.sh ] \|\| die "scripts/bootstrap.sh missing or not executable."` → `[ -x scripts/bootstrap.sh ] \|\| die "scripts/bootstrap.sh missing."` | bootstrap pre-check message changed (teeth assert the exact onboarding output) |
| SURVIVED | `scripts/status.sh` | `if [ "${STATUS:-}" = "Running" ]; then` → `if [ "${STATUS:-}" != "Running" ]; then` | podman section condition inverted: container report shown when VM stopped, skipped when running |
| KILLED | `scripts/extract-test-functions.py` | `if name in all_top and all_top[name] not in target_funcs:` → `if name in all_top and all_top[name] in target_funcs:` | helper collection inverted: target tests collected as helpers, real helpers dropped |
| SURVIVED | `scripts/extract-test-functions.py` | `if comment_line >= 0 and lines[comment_line].lstrip().startswith("#"):` → `if comment_line >= 0 and not lines[comment_line].lstrip().startswith("#"):` | leading-comment inclusion inverted: docstring-less lines pulled in, comment headers dropped |
| SURVIVED | `scripts/check-drift.sh` | `if [ "$child" = "$head_h" ]; then` → `if [ "$child" != "$head_h" ]; then` | sync condition inverted: matching files flagged, divergent files reported IN_SYNC |
| SURVIVED | `scripts/check-drift.sh` | `status=BEHIND; behind=1` → `status=BEHIND; behind=1; rc=1` | BEHIND now fails the gate (rc=1) instead of exiting 2 |
| KILLED | `scripts/context-budget.py` | `if size > limit:` → `if size < limit:` | budget comparison inverted: warns under budget, silent over budget |
| KILLED | `scripts/context-budget.py` | `if slice_size > source_size:` → `if slice_size < source_size:` | slice sanity check inverted: valid slices rejected, oversized slices accepted |
| SURVIVED | `scripts/sandbox-run.sh` | `scripts\|scripts/*\|.git\|.git/*\|.githooks\|.githooks/*)` → `scripts\|scripts/*)` | control-plane write blocklist narrowed: .git/.githooks become agent-writable in the sandbox |
| SURVIVED | `scripts/sandbox-run.sh` | `"$repo_canon"/*) ;;` → `"$repo_canon") ;;` | escape check inverted: paths outside the repo root accepted as writable mounts |
| KILLED | `scripts/doc-consistency.sh` | `hits=$(grep -inE "$tok" "$ROOT/$doc" \|\| true)` → `hits=$(grep -ivE "$tok" "$ROOT/$doc" \|\| true)` | token match inverted: warns on every non-matching line, silent on stale tokens |
| KILLED | `scripts/doc-consistency.sh` | `if [ -n "$hits" ]; then` → `if [ -z "$hits" ]; then` | warning trigger inverted: warns when a doc is clean, silent when it is stale |
| KILLED | `scripts/standing-summary.py` | `if "architecture" not in section_heading(section).lower():` → `if "architecture" in section_heading(section).lower():` | file-map section filter inverted: non-architecture sections summarized, architecture sections skipped |
| KILLED | `scripts/standing-summary.py` | `if len(normalized) <= limit:` → `if len(normalized) >= limit:` | truncation bound inverted: long descriptions pass untruncated, short ones get cut |
| KILLED | `scripts/tpm-unpack.sh` | `if not is_allowed(path):` → `if is_allowed(path):` | path policy inverted: disallowed paths staged, allowed paths rejected |
| KILLED | `scripts/tpm-unpack.sh` | `if path in files:` → `if path not in files:` | duplicate detection inverted: first block rejected, repeats accepted |
